customer_id,gender,age,senior_citizen,region,contract_type,tenure_months,internet_service,payment_method,paperless_billing,streaming_service,tech_support,online_security,monthly_charges,discount_percent,total_charges,support_tickets,satisfaction_score,churn,churn_reason
CUST-10000,Female,64,No,Midwest,Month-to-Month,1,None,Electronic Check,Yes,No,Yes,Yes,44.25,3.56,81.25,1,4.6,Yes,No Long-Term Commitment
CUST-10001,Male,41,No,Midwest,Two Year,48,Fiber Optic,Credit Card,Yes,Yes,No,Yes,87.49,5.42,4175.17,0,3.7,No,Retained
CUST-10002,Male,34,No,West,Month-to-Month,2,Fiber Optic,Electronic Check,Yes,No,Yes,Yes,85.1,2.43,212.06,2,3.7,No,Retained
CUST-10003,Male,68,Yes,Northeast,Month-to-Month,20,Fiber Optic,Electronic Check,Yes,Yes,Yes,Yes,103.78,3.06,2106.46,3,3.7,No,Retained
CUST-10004,Female,22,No,South,Two Year,46,Fiber Optic,Bank Transfer,No,No,No,Yes,70.09,9.68,3243.63,3,3.6,Yes,Poor Support Experience
CUST-10005,Female,18,No,South,Month-to-Month,19,DSL,Bank Transfer,Yes,Yes,No,No,65.54,2.65,1266.71,2,2.8,No,Retained
CUST-10006,Female,48,No,Midwest,Two Year,61,Fiber Optic,Electronic Check,No,Yes,No,No,101.01,9.51,6140.07,3,3.2,No,Retained
CUST-10007,Male,35,No,Northeast,Month-to-Month,29,Fiber Optic,Credit Card,Yes,Yes,Yes,Yes,109.2,2.74,3231.82,0,4.8,No,Retained
CUST-10008,Male,28,No,South,Month-to-Month,22,Fiber Optic,Credit Card,Yes,Yes,No,No,77.18,2.14,1699.47,4,2.7,Yes,Service Reliability Issues
CUST-10009,Male,52,No,South,Month-to-Month,18,None,Electronic Check,Yes,No,No,Yes,50.37,0.95,917.23,1,4.2,No,Retained
CUST-10010,Female,45,No,South,One Year,29,DSL,Electronic Check,Yes,Yes,No,Yes,74.77,5.86,2145.61,1,4.2,No,Retained
CUST-10011,Male,34,No,South,Month-to-Month,8,Fiber Optic,Electronic Check,Yes,No,No,Yes,85.06,1.89,647.89,1,3.1,Yes,No Long-Term Commitment
CUST-10012,Male,24,No,Midwest,Month-to-Month,29,Fiber Optic,Electronic Check,Yes,Yes,No,No,88.59,1.18,2585.82,3,3.6,Yes,Service Reliability Issues
CUST-10013,Female,54,No,West,Month-to-Month,30,None,Bank Transfer,No,No,No,No,50.6,3.21,1525.61,3,2.9,Yes,Competitor Offer
CUST-10014,Female,51,No,West,Month-to-Month,12,DSL,Electronic Check,Yes,No,Yes,Yes,75.0,2.79,872.37,2,3.9,Yes,No Long-Term Commitment
CUST-10015,Female,41,No,West,Two Year,64,Fiber Optic,Electronic Check,Yes,Yes,Yes,Yes,86.7,13.52,5498.46,5,2.2,No,Retained
CUST-10016,Female,68,Yes,South,Two Year,21,Fiber Optic,Credit Card,Yes,Yes,No,Yes,97.54,8.42,2003.89,2,3.2,No,Retained
CUST-10017,Male,27,No,South,Month-to-Month,23,Fiber Optic,Bank Transfer,Yes,Yes,No,No,88.44,2.6,2075.98,2,3.9,No,Retained
CUST-10018,Female,21,No,Midwest,One Year,16,Fiber Optic,Electronic Check,Yes,No,No,No,70.94,8.42,1113.58,3,1.7,Yes,Competitor Offer
CUST-10019,Female,32,No,Northeast,Month-to-Month,2,DSL,Electronic Check,Yes,Yes,No,Yes,78.82,3.61,145.78,1,4.2,Yes,No Long-Term Commitment
CUST-10020,Male,41,No,Northeast,One Year,31,None,Electronic Check,Yes,No,Yes,No,42.9,2.23,1380.66,2,4.1,No,Retained
CUST-10021,Female,45,No,South,One Year,41,DSL,Bank Transfer,No,No,Yes,Yes,66.54,8.98,2688.86,3,2.8,No,Retained
CUST-10022,Female,39,No,Northeast,Two Year,44,DSL,Credit Card,No,No,Yes,No,54.07,9.82,2353.64,1,3.7,No,Retained
CUST-10023,Female,47,No,Midwest,Month-to-Month,15,Fiber Optic,Bank Transfer,Yes,No,Yes,No,72.94,1.42,1067.19,2,2.7,Yes,Competitor Offer
CUST-10024,Female,24,No,Midwest,One Year,18,DSL,Mailed Check,Yes,No,No,Yes,51.98,3.77,992.27,1,3.1,No,Retained
CUST-10025,Male,62,No,West,Month-to-Month,8,DSL,Bank Transfer,No,Yes,No,No,53.42,3.4,497.13,2,3.7,Yes,No Long-Term Commitment
CUST-10026,Female,41,No,West,Two Year,36,Fiber Optic,Credit Card,Yes,No,No,No,57.07,12.79,2080.82,5,4.9,No,Retained
CUST-10027,Female,58,No,South,Month-to-Month,4,Fiber Optic,Credit Card,Yes,No,No,Yes,79.89,0.03,346.98,3,3.8,Yes,Competitor Offer
